epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,400.213,0.43677,0.44401,0.90626,0.99653,1,0.995,0.9357,0.36402,0.42755,0.78119,0.0011486,0.0011486,0.0011486
45,409.453,0.4238,0.43263,0.88821,0.99673,1,0.995,0.92879,0.36364,0.40447,0.77966,0.0011288,0.0011288,0.0011288
46,418.801,0.43628,0.42518,0.88346,0.9975,1,0.995,0.94045,0.36105,0.41541,0.77408,0.001109,0.001109,0.001109
47,428.537,0.41168,0.41537,0.89652,0.99707,1,0.995,0.93859,0.35369,0.42082,0.77023,0.0010892,0.0010892,0.0010892
48,437.517,0.41394,0.42139,0.88187,0.99307,1,0.995,0.95611,0.31964,0.44014,0.7711,0.0010694,0.0010694,0.0010694
49,446.696,0.3942,0.39819,0.89439,0.98834,1,0.995,0.94553,0.30719,0.49134,0.76957,0.0010496,0.0010496,0.0010496
50,456.034,0.37859,0.38267,0.88235,0.99315,1,0.995,0.92892,0.34657,0.48914,0.77303,0.0010298,0.0010298,0.0010298
51,465.769,0.43374,0.40079,0.92634,0.9956,1,0.995,0.93132,0.32934,0.44518,0.77546,0.00101,0.00101,0.00101
52,475.656,0.38182,0.38786,0.87854,0.99623,1,0.995,0.96127,0.31238,0.44432,0.77042,0.0009902,0.0009902,0.0009902
53,484.922,0.42592,0.42121,0.8966,0.99389,1,0.995,0.9591,0.33691,0.48098,0.76747,0.0009704,0.0009704,0.0009704
54,493.956,0.37089,0.38483,0.87387,0.99419,1,0.995,0.96912,0.29983,0.43835,0.75981,0.0009506,0.0009506,0.0009506
55,502.946,0.34417,0.3829,0.85961,0.9916,1,0.995,0.95134,0.30155,0.43955,0.76255,0.0009308,0.0009308,0.0009308
56,511.868,0.3927,0.40989,0.90939,0.98969,1,0.995,0.95726,0.32882,0.46528,0.76506,0.000911,0.000911,0.000911
57,520.807,0.40316,0.41617,0.91066,0.99127,1,0.995,0.96554,0.29355,0.42672,0.76068,0.0008912,0.0008912,0.0008912
58,529.844,0.39936,0.38003,0.9043,0.99808,1,0.995,0.9573,0.29624,0.36103,0.76463,0.0008714,0.0008714,0.0008714
59,538.673,0.37404,0.37299,0.88074,0.99805,1,0.995,0.95505,0.30018,0.35163,0.76624,0.0008516,0.0008516,0.0008516
60,547.804,0.39782,0.37493,0.89232,0.99776,1,0.995,0.96513,0.3084,0.35733,0.76531,0.0008318,0.0008318,0.0008318
61,556.767,0.37313,0.34484,0.87726,0.99746,1,0.995,0.96584,0.2983,0.35556,0.76325,0.000812,0.000812,0.000812
62,565.614,0.37111,0.38781,0.87585,0.99806,1,0.995,0.95692,0.31542,0.32856,0.76425,0.0007922,0.0007922,0.0007922
63,575.477,0.35091,0.35066,0.87131,0.99814,1,0.995,0.95832,0.30371,0.32649,0.7645,0.0007724,0.0007724,0.0007724
64,584.746,0.35104,0.35685,0.87508,0.9981,1,0.995,0.96852,0.28231,0.32908,0.7601,0.0007526,0.0007526,0.0007526
65,593.951,0.35441,0.34445,0.87968,0.99795,1,0.995,0.96936,0.26906,0.31907,0.7585,0.0007328,0.0007328,0.0007328
66,603.414,0.34842,0.33876,0.89166,0.998,1,0.995,0.98768,0.25065,0.29582,0.75685,0.000713,0.000713,0.000713
67,612.746,0.38202,0.36542,0.87195,0.99817,1,0.995,0.99061,0.24676,0.2933,0.75771,0.0006932,0.0006932,0.0006932
68,622.584,0.38183,0.35397,0.90077,0.9982,1,0.995,0.98349,0.25674,0.28513,0.76112,0.0006734,0.0006734,0.0006734
69,631.783,0.34636,0.33514,0.86948,0.99818,1,0.995,0.97897,0.26152,0.29229,0.7615,0.0006536,0.0006536,0.0006536
70,640.871,0.36286,0.33621,0.89038,0.99814,1,0.995,0.98576,0.27041,0.29686,0.76147,0.0006338,0.0006338,0.0006338
71,649.822,0.35398,0.33843,0.85457,0.9981,1,0.995,0.97905,0.2676,0.29414,0.75991,0.000614,0.000614,0.000614
72,659.004,0.33703,0.32432,0.86253,0.99811,1,0.995,0.9813,0.27739,0.30832,0.76114,0.0005942,0.0005942,0.0005942
73,668.069,0.35964,0.33136,0.88733,0.99817,1,0.995,0.98175,0.2826,0.30118,0.76119,0.0005744,0.0005744,0.0005744
74,676.956,0.31814,0.32112,0.86544,0.99811,1,0.995,0.99095,0.25931,0.28564,0.75669,0.0005546,0.0005546,0.0005546
75,685.855,0.36926,0.33763,0.89076,0.99809,1,0.995,0.99105,0.24381,0.28152,0.75474,0.0005348,0.0005348,0.0005348
76,694.724,0.38354,0.35056,0.8985,0.99815,1,0.995,0.98785,0.22443,0.27206,0.75233,0.000515,0.000515,0.000515
77,703.601,0.41545,0.36603,0.92892,0.99818,1,0.995,0.98803,0.21845,0.26122,0.75222,0.0004952,0.0004952,0.0004952
78,712.715,0.37485,0.34255,0.89355,0.99823,1,0.995,0.97911,0.22564,0.27293,0.7533,0.0004754,0.0004754,0.0004754
79,722.014,0.34938,0.34611,0.89159,0.99823,1,0.995,0.97911,0.232,0.27572,0.75334,0.0004556,0.0004556,0.0004556
80,731.067,0.32294,0.3252,0.86272,0.9983,1,0.995,0.99095,0.22306,0.26491,0.75104,0.0004358,0.0004358,0.0004358
81,739.885,0.34111,0.31996,0.85793,0.99829,1,0.995,0.99167,0.22672,0.25961,0.75131,0.000416,0.000416,0.000416
82,748.826,0.35636,0.32331,0.87349,0.99827,1,0.995,0.995,0.2329,0.26205,0.75291,0.0003962,0.0003962,0.0003962
83,757.86,0.30927,0.29386,0.85914,0.99826,1,0.995,0.99178,0.2316,0.25661,0.75358,0.0003764,0.0003764,0.0003764
84,766.8,0.30463,0.30544,0.86785,0.99825,1,0.995,0.9912,0.233,0.26017,0.75436,0.0003566,0.0003566,0.0003566
85,775.712,0.33367,0.29781,0.88669,0.99823,1,0.995,0.995,0.22854,0.26166,0.75372,0.0003368,0.0003368,0.0003368
86,785.257,0.31099,0.30284,0.87344,0.99819,1,0.995,0.995,0.21108,0.26023,0.75175,0.000317,0.000317,0.000317
87,794.225,0.35458,0.3113,0.90634,0.99816,1,0.995,0.995,0.20791,0.25464,0.75184,0.0002972,0.0002972,0.0002972
88,803.425,0.38914,0.32741,0.93537,0.99814,1,0.995,0.995,0.2139,0.25916,0.75338,0.0002774,0.0002774,0.0002774
89,812.362,0.33342,0.28834,0.86248,0.99817,1,0.995,0.995,0.2179,0.26196,0.7542,0.0002576,0.0002576,0.0002576
90,821.363,0.31387,0.29471,0.87593,0.99821,1,0.995,0.995,0.23142,0.25639,0.75442,0.0002378,0.0002378,0.0002378
91,830.339,0.22805,0.33598,0.76431,0.99819,1,0.995,0.995,0.23267,0.2509,0.75492,0.000218,0.000218,0.000218
92,839.145,0.2156,0.29026,0.79228,0.99816,1,0.995,0.995,0.22386,0.26578,0.7537,0.0001982,0.0001982,0.0001982
93,848.542,0.21183,0.2805,0.79586,0.99816,1,0.995,0.99131,0.22211,0.27001,0.75302,0.0001784,0.0001784,0.0001784
94,857.666,0.19831,0.28048,0.77127,0.99815,1,0.995,0.98817,0.20465,0.26622,0.75388,0.0001586,0.0001586,0.0001586
95,866.716,0.2007,0.27285,0.7825,0.99816,1,0.995,0.99154,0.19958,0.25702,0.75424,0.0001388,0.0001388,0.0001388
96,875.723,0.19496,0.27623,0.77818,0.99818,1,0.995,0.9913,0.20449,0.24862,0.75514,0.000119,0.000119,0.000119
97,884.857,0.20642,0.27005,0.79277,0.99822,1,0.995,0.98774,0.21202,0.24645,0.75554,9.92e-05,9.92e-05,9.92e-05
98,893.706,0.19431,0.25206,0.79844,0.99819,1,0.995,0.98341,0.22112,0.24533,0.75569,7.94e-05,7.94e-05,7.94e-05
99,903.136,0.1924,0.26146,0.77382,0.9982,1,0.995,0.98362,0.22496,0.24239,0.75588,5.96e-05,5.96e-05,5.96e-05
100,912.096,0.1979,0.25967,0.78825,0.99823,1,0.995,0.98375,0.22354,0.23876,0.75534,3.98e-05,3.98e-05,3.98e-05
