                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.47955,                0.72934,                0.92383,                0.98858,                0.96497,                  0.995,                0.96882,                0.28402,                0.85302,                0.82638,             0.00093385,             0.00093385,             0.00093385
                     37,                0.39268,                0.66835,                0.89986,                0.99057,                 0.9603,                  0.995,                0.98901,                0.26964,                0.78576,                 0.8216,              0.0009197,              0.0009197,              0.0009197
                     38,                0.43747,                0.67263,                0.90566,                0.97201,                0.99518,                  0.995,                0.98163,                0.27154,                0.72202,                0.82259,             0.00090556,             0.00090556,             0.00090556
                     39,                0.47831,                0.70224,                0.95442,                0.98995,                      1,                  0.995,                 0.9501,                0.30582,                 0.7173,                0.83764,             0.00089141,             0.00089141,             0.00089141
                     40,                0.44476,                0.66024,                0.92238,                0.98971,                      1,                  0.995,                0.94969,                0.31216,                0.68576,                0.83509,             0.00087726,             0.00087726,             0.00087726
                     41,                0.39099,                0.67121,                 0.8956,                 0.9859,                      1,                  0.995,                0.94431,                0.30172,                0.67679,                0.82654,             0.00086312,             0.00086312,             0.00086312
                     42,                0.47654,                0.69726,                0.92425,                0.97524,                      1,                  0.995,                0.95946,                0.32387,                0.72161,                0.82569,             0.00084897,             0.00084897,             0.00084897
                     43,                 0.4268,                0.65083,                0.91029,                0.97883,                0.99959,                  0.995,                0.95874,                0.31972,                0.74986,                0.82495,             0.00083482,             0.00083482,             0.00083482
                     44,                0.44049,                0.64582,                0.92008,                0.97743,                0.99665,                  0.995,                0.93725,                0.34771,                0.72734,                0.83658,             0.00082067,             0.00082067,             0.00082067
                     45,                0.39888,                0.65535,                0.90219,                0.98382,                      1,                  0.995,                0.94735,                0.36623,                0.73917,                0.84713,             0.00080653,             0.00080653,             0.00080653
                     46,                 0.4628,                0.64659,                0.90554,                0.98586,                      1,                  0.995,                 0.9525,                  0.358,                0.72876,                  0.845,             0.00079238,             0.00079238,             0.00079238
                     47,                0.40454,                0.63506,                0.93512,                0.98461,                      1,                  0.995,                0.93187,                0.36019,                0.75797,                0.85933,             0.00077823,             0.00077823,             0.00077823
                     48,                0.43092,                0.56264,                0.93646,                0.98505,                      1,                  0.995,                0.91859,                0.36188,                0.76556,                 0.8769,             0.00076409,             0.00076409,             0.00076409
                     49,                0.36077,                0.55014,                0.89122,                0.96362,                0.94279,                0.98917,                0.89656,                0.42549,                0.89135,                0.91407,             0.00074994,             0.00074994,             0.00074994
                     50,                0.42706,                0.62002,                0.94594,                0.98607,                0.98808,                  0.995,                0.91593,                0.38683,                0.87456,                 0.8971,             0.00073579,             0.00073579,             0.00073579
                     51,                0.43464,                0.61655,                 0.9093,                0.93472,                0.95238,                0.96767,                0.91577,                 0.3397,                0.85632,                0.87466,             0.00072164,             0.00072164,             0.00072164
                     52,                0.47175,                0.61702,                0.96827,                0.91521,                0.95238,                0.95749,                0.89645,                0.33205,                0.81814,                0.84952,              0.0007075,              0.0007075,              0.0007075
                     53,                0.36358,                0.56535,                0.84861,                0.94354,                      1,                  0.995,                 0.9327,                0.28054,                0.69129,                0.82605,             0.00069335,             0.00069335,             0.00069335
                     54,                0.41763,                0.61237,                0.89418,                0.98053,                      1,                  0.995,                0.96249,                0.26163,                0.60745,                0.82287,              0.0006792,              0.0006792,              0.0006792
                     55,                0.43998,                0.72628,                0.93834,                0.98937,                      1,                  0.995,                0.97921,                0.25387,                0.57223,                0.81896,             0.00066506,             0.00066506,             0.00066506
                     56,                0.41324,                0.61276,                0.93553,                0.98991,                      1,                  0.995,                0.97069,                0.24949,                0.57939,                0.81453,             0.00065091,             0.00065091,             0.00065091
                     57,                0.42139,                0.59661,                0.89522,                0.98764,                      1,                  0.995,                0.98398,                0.25219,                0.58675,                0.81372,             0.00063676,             0.00063676,             0.00063676
                     58,                0.43365,                0.61496,                0.92572,                0.98947,                      1,                  0.995,                0.98085,                0.25738,                0.58326,                0.81326,             0.00062262,             0.00062262,             0.00062262
                     59,                0.42215,                0.55407,                 0.8817,                 0.9905,                      1,                  0.995,                0.97575,                0.27264,                0.55954,                0.81743,             0.00060847,             0.00060847,             0.00060847
                     60,                 0.3532,                 0.5428,                0.86183,                0.99132,                      1,                  0.995,                0.97996,                0.25874,                0.53993,                0.81465,             0.00059432,             0.00059432,             0.00059432
                     61,                0.40415,                0.59579,                0.91193,                 0.9929,                      1,                  0.995,                 0.9689,                0.25263,                 0.5593,                0.81217,             0.00058017,             0.00058017,             0.00058017
                     62,                0.35513,                 0.5467,                0.85885,                 0.9895,                      1,                  0.995,                0.98413,                0.26111,                 0.5517,                0.81561,             0.00056603,             0.00056603,             0.00056603
                     63,                0.35104,                0.54169,                0.88324,                0.98603,                      1,                  0.995,                0.96944,                0.27001,                0.55942,                0.82319,             0.00055188,             0.00055188,             0.00055188
                     64,                0.34051,                0.53955,                0.85908,                0.98443,                      1,                  0.995,                0.97208,                0.27581,                0.55501,                0.82923,             0.00053773,             0.00053773,             0.00053773
                     65,                0.41281,                0.56442,                0.91162,                0.98631,                      1,                  0.995,                0.97074,                0.27364,                0.53624,                0.82998,             0.00052359,             0.00052359,             0.00052359
                     66,                0.39599,                0.52711,                0.95368,                0.98804,                      1,                  0.995,                0.96627,                0.27559,                 0.5517,                0.82921,             0.00050944,             0.00050944,             0.00050944
                     67,                0.40134,                0.53358,                0.90534,                0.99041,                      1,                  0.995,                0.96748,                 0.2869,                0.54074,                0.83012,             0.00049529,             0.00049529,             0.00049529
                     68,                0.33264,                0.48985,                0.87143,                0.99069,                      1,                  0.995,                0.96937,                0.28761,                0.57299,                0.82775,             0.00048114,             0.00048114,             0.00048114
                     69,                0.34687,                0.50494,                0.90694,                0.98802,                      1,                  0.995,                0.97109,                0.28429,                0.60764,                0.82499,               0.000467,               0.000467,               0.000467
                     70,                0.36679,                0.52246,                0.87875,                0.98627,                      1,                  0.995,                0.97109,                0.27822,                0.61105,                0.82565,             0.00045285,             0.00045285,             0.00045285
                     71,                0.33549,                0.48745,                0.86574,                0.98779,                      1,                  0.995,                0.96247,                0.27252,                0.56424,                0.82536,              0.0004387,              0.0004387,              0.0004387
                     72,                0.32999,                0.50406,                0.87096,                0.98771,                      1,                  0.995,                0.95655,                0.26941,                0.51353,                0.82569,             0.00042456,             0.00042456,             0.00042456
                     73,                0.38072,                0.54319,                0.93861,                0.98863,                      1,                  0.995,                 0.9661,                0.26101,                0.48956,                0.82114,             0.00041041,             0.00041041,             0.00041041
                     74,                0.36216,                0.51962,                0.89852,                0.98856,                      1,                  0.995,                0.97075,                0.25484,                0.47482,                  0.819,             0.00039626,             0.00039626,             0.00039626
                     75,                0.32608,                0.48402,                0.86138,                0.98984,                      1,                  0.995,                0.97075,                 0.2563,                0.47063,                0.81876,             0.00038211,             0.00038211,             0.00038211
                     76,                0.34453,                0.47084,                0.87989,                0.99183,                      1,                  0.995,                 0.9589,                0.25883,                0.46374,                0.81996,             0.00036797,             0.00036797,             0.00036797
                     77,                0.37839,                 0.5228,                0.89183,                0.99245,                      1,                  0.995,                0.96444,                0.26019,                0.46058,                0.82067,             0.00035382,             0.00035382,             0.00035382
                     78,                0.28445,                0.45952,                0.84881,                0.99259,                      1,                  0.995,                0.96141,                0.25193,                0.45205,                0.81844,             0.00033967,             0.00033967,             0.00033967
                     79,                0.35367,                0.47194,                0.85698,                0.99285,                      1,                  0.995,                0.98627,                0.24583,                0.45256,                0.81638,             0.00032553,             0.00032553,             0.00032553
                     80,                0.34867,                0.46464,                0.89154,                0.99287,                      1,                  0.995,                 0.9818,                0.24416,                0.45745,                0.81419,             0.00031138,             0.00031138,             0.00031138
                     81,                0.36144,                0.46793,                0.89867,                0.99271,                      1,                  0.995,                  0.995,                0.24014,                0.46184,                0.81241,             0.00029723,             0.00029723,             0.00029723
                     82,                0.32789,                0.45093,                0.90443,                0.99196,                      1,                  0.995,                0.98627,                0.24075,                 0.4526,                0.81189,             0.00028308,             0.00028308,             0.00028308
                     83,                0.32378,                0.45821,                0.87868,                0.99183,                      1,                  0.995,                0.98171,                0.24071,                0.43934,                0.81176,             0.00026894,             0.00026894,             0.00026894
                     84,                 0.3337,                0.48392,                0.90779,                0.99186,                      1,                  0.995,                 0.9736,                0.23927,                0.42895,                0.81168,             0.00025479,             0.00025479,             0.00025479
                     85,                0.33982,                0.44056,                0.87219,                0.99195,                      1,                  0.995,                  0.995,                0.23711,                0.42492,                0.81248,             0.00024064,             0.00024064,             0.00024064
                     86,                0.35554,                0.47192,                0.88937,                0.99201,                      1,                  0.995,                  0.995,                0.23482,                0.42996,                 0.8126,              0.0002265,              0.0002265,              0.0002265
                     87,                0.32553,                0.46489,                0.88498,                0.99195,                      1,                  0.995,                  0.995,                0.23348,                0.43192,                0.81176,             0.00021235,             0.00021235,             0.00021235
                     88,                0.32452,                0.44899,                0.85911,                0.99217,                      1,                  0.995,                  0.995,                0.23287,                 0.4287,                0.81145,              0.0001982,              0.0001982,              0.0001982
                     89,                 0.3129,                0.43228,                0.85984,                0.99217,                      1,                  0.995,                  0.995,                0.22846,                0.41888,                0.81018,             0.00018406,             0.00018406,             0.00018406
                     90,                0.36409,                0.45605,                0.88659,                0.99223,                      1,                  0.995,                  0.995,                0.22656,                0.41122,                0.80957,             0.00016991,             0.00016991,             0.00016991
                     91,                0.19224,                0.57006,                0.78496,                0.99214,                      1,                  0.995,                  0.995,                0.22759,                0.40804,                0.80923,             0.00015576,             0.00015576,             0.00015576
                     92,                0.21596,                0.58971,                0.82286,                  0.992,                      1,                  0.995,                0.98696,                0.23096,                0.41646,                0.80862,             0.00014161,             0.00014161,             0.00014161
                     93,                0.19526,                0.55565,                0.76396,                0.99199,                      1,                  0.995,                0.97146,                0.23509,                0.43274,                0.80908,             0.00012747,             0.00012747,             0.00012747
                     94,                0.18822,                0.57142,                0.80031,                0.99208,                      1,                  0.995,                0.97337,                0.23885,                0.45231,                0.81026,             0.00011332,             0.00011332,             0.00011332
                     95,                0.20767,                0.56719,                0.74169,                0.99215,                      1,                  0.995,                0.97337,                0.23824,                0.46735,                0.81034,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.20179,                0.58852,                0.77753,                0.99237,                      1,                  0.995,                0.97329,                0.23365,                0.46906,                0.81008,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.18289,                0.58224,                0.79187,                0.99231,                      1,                  0.995,                0.97165,                0.22766,                0.45886,                0.80963,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 0.1992,                0.58752,                0.80759,                0.99231,                      1,                  0.995,                0.98627,                0.22432,                0.45003,                0.80967,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.18753,                0.58002,                0.77554,                0.99253,                      1,                  0.995,                0.98627,                0.22153,                0.44288,                0.80974,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.16951,                0.58194,                0.79252,                0.99263,                      1,                  0.995,                0.98627,                0.21907,                0.43644,                0.80967,             2.8437e-05,             2.8437e-05,             2.8437e-05
