                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57181,                 3.1985,                 1.0625,                0.00392,                      1,                0.41575,                0.40704,                 0.1995,                  3.213,                0.80406,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                0.46746,                  2.595,                 1.0124,                0.00373,                      1,                0.43997,                0.42413,                0.23716,                  3.032,                0.80806,             0.00015563,             0.00015563,             0.00015563
                      3,                0.51891,                 2.1643,                 1.0794,                0.00358,                      1,                0.52844,                0.50058,                0.29107,                 2.7569,                0.81581,             0.00023812,             0.00023812,             0.00023812
                      4,                0.44369,                 1.8208,                0.93615,                0.00367,                      1,                0.67463,                0.65284,                0.28951,                  2.658,                0.82018,             0.00031891,             0.00031891,             0.00031891
                      5,                0.50727,                 1.4999,                0.96236,                0.63722,                0.31549,                0.74195,                 0.6927,                0.32816,                 2.5135,                0.82838,               0.000398,               0.000398,               0.000398
                      6,                0.44149,                 1.3733,                0.90827,                      1,                0.29332,                 0.8529,                0.82382,                0.32204,                    2.6,                0.83415,             0.00047539,             0.00047539,             0.00047539
                      7,                0.54391,                 1.2907,                0.96987,                0.94525,                0.75863,                0.93999,                0.88535,                0.37249,                 2.3068,                0.87205,             0.00055109,             0.00055109,             0.00055109
                      8,                0.55494,                 1.1302,                0.95123,                0.94912,                0.77855,                0.94262,                0.87736,                0.36247,                 2.2431,                 0.8551,             0.00062509,             0.00062509,             0.00062509
                      9,                0.53841,                0.99129,                0.93986,                0.92932,                0.77464,                0.98894,                0.89819,                0.47189,                 1.9278,                0.93855,             0.00069739,             0.00069739,             0.00069739
                     10,                0.46753,                 1.1269,                0.92017,                0.86734,                0.94711,                0.99197,                0.73857,                0.85899,                 2.0398,                 1.3396,             0.00076799,             0.00076799,             0.00076799
                     11,                0.43355,                0.94771,                 0.8973,                0.82176,                0.98473,                0.98435,                0.84329,                0.54622,                 1.6945,                 1.0322,             0.00083689,             0.00083689,             0.00083689
                     12,                0.48259,                0.95679,                0.92336,                 0.8017,                0.94444,                0.96207,                0.69031,                0.71412,                 2.0074,                 1.1042,              0.0009041,              0.0009041,              0.0009041
                     13,                0.57262,                0.94075,                 1.0255,                  0.877,                0.84821,                0.95816,                0.78302,                0.53908,                 1.7806,                0.99812,             0.00096961,             0.00096961,             0.00096961
                     14,                 0.4376,                0.85645,                0.88221,                0.82083,                0.97841,                0.97344,                0.76118,                0.64537,                 1.6816,                 1.1116,              0.0010334,              0.0010334,              0.0010334
                     15,                0.48759,                 0.8061,                0.92159,                0.83395,                      1,                0.94913,                 0.7132,                0.74392,                 1.7385,                  1.201,              0.0010955,              0.0010955,              0.0010955
                     16,                0.49726,                 0.9663,                0.97228,                0.95497,                0.99254,                  0.995,                0.91164,                0.39944,                 1.1418,                0.87637,               0.001156,               0.001156,               0.001156
